AccountID,CustomerID,AccountType,Balance
A00001,C00614,Savings,32111
A00002,C02619,Current,646404
A00003,C02107,Savings,827215
A00004,C03653,Current,961772
A00005,C02235,Savings,719302
A00006,C00970,Current,595211
A00007,C00510,Current,163143
A00008,C02745,Savings,645264
A00009,C03161,Savings,21363
A00010,C00748,Savings,381625
A00011,C00304,Current,985796
A00012,C00018,Current,166906
A00013,C04978,Current,939971
A00014,C03793,Current,703373
A00015,C02960,Current,38837
A00016,C00222,Savings,781655
A00017,C03473,Savings,310645
A00018,C02155,Current,507655
A00019,C04725,Current,940960
A00020,C02979,Savings,993600
A00021,C01100,Current,673457
A00022,C03745,Savings,59516
A00023,C02361,Savings,440009
A00024,C00162,Current,645240
A00025,C01175,Current,248805
A00026,C04183,Savings,44409
A00027,C03485,Current,45476
A00028,C01610,Current,36476
A00029,C00475,Current,587462
A00030,C00761,Current,473162
A00031,C02813,Savings,690359
A00032,C01778,Savings,694899
A00033,C00077,Current,493911
A00034,C00131,Savings,103219
A00035,C01508,Current,344523
A00036,C00448,Savings,360025
A00037,C02949,Savings,314817
A00038,C03958,Current,123378
A00039,C04536,Current,738069
A00040,C04619,Savings,811708
A00041,C00326,Current,92273
A00042,C00002,Savings,861339
A00043,C01427,Savings,277969
A00044,C01264,Savings,500044
A00045,C00554,Current,160099
A00046,C03691,Savings,403548
A00047,C04139,Savings,310490
A00048,C00924,Savings,65812
A00049,C03701,Current,119995
A00050,C03946,Savings,855575
A00051,C04106,Savings,671121
A00052,C04999,Savings,635284
A00053,C03547,Current,635235
A00054,C04312,Current,60161
A00055,C01839,Current,712569
A00056,C01215,Savings,94671
A00057,C02886,Current,775663
A00058,C01229,Current,671855
A00059,C03437,Current,307970
A00060,C00268,Current,718049
A00061,C04515,Current,472663
A00062,C01520,Savings,414066
A00063,C04259,Current,877157
A00064,C01495,Savings,717567
A00065,C01084,Current,307110
A00066,C01780,Savings,55057
A00067,C00224,Current,226376
A00068,C01800,Savings,215800
A00069,C04618,Savings,899667
A00070,C03638,Current,195686
A00071,C03121,Current,143092
A00072,C02727,Savings,96035
A00073,C03947,Savings,109620
A00074,C02739,Current,333817
A00075,C02644,Savings,466104
A00076,C04726,Current,991346
A00077,C01903,Current,148295
A00078,C01852,Current,786555
A00079,C00961,Current,860267
A00080,C03211,Savings,565706
A00081,C02136,Current,348081
A00082,C04454,Savings,243073
A00083,C03051,Current,374530
A00084,C01057,Savings,367451
A00085,C04946,Savings,282763
A00086,C01625,Savings,675104
A00087,C04797,Savings,996953
A00088,C03280,Savings,313844
A00089,C04963,Current,639740
A00090,C02744,Current,285805
A00091,C04379,Savings,372488
A00092,C01685,Current,306407
A00093,C04633,Savings,50570
A00094,C00929,Current,508448
A00095,C01075,Savings,573071
A00096,C03036,Current,113023
A00097,C02375,Savings,674272
A00098,C04476,Current,403273
A00099,C03157,Current,607358
A00100,C04692,Current,104144
A00101,C04722,Savings,190069
A00102,C02692,Current,226326
A00103,C01377,Current,845783
A00104,C02638,Current,214434
A00105,C02029,Current,813388
A00106,C04694,Current,529693
A00107,C03210,Current,421806
A00108,C03034,Current,730075
A00109,C04797,Savings,903786
A00110,C02783,Savings,331177
A00111,C04797,Current,687680
A00112,C04809,Savings,124110
A00113,C00010,Current,768686
A00114,C03830,Savings,476952
A00115,C00833,Current,794335
