CardID,CustomerID,CardType,CardStatus
CR00001,C00521,Debit,Active
CR00002,C00899,Credit,Active
CR00003,C03077,Credit,Blocked
CR00004,C03371,Credit,Blocked
CR00005,C04010,Debit,Blocked
CR00006,C02933,Debit,Blocked
CR00007,C04167,Debit,Blocked
CR00008,C04008,Credit,Active
CR00009,C03726,Credit,Active
CR00010,C04161,Debit,Expired
CR00011,C00339,Debit,Expired
CR00012,C03862,Debit,Active
CR00013,C01000,Debit,Blocked
CR00014,C04571,Credit,Active
CR00015,C00974,Credit,Expired
CR00016,C01362,Credit,Expired
CR00017,C03150,Credit,Blocked
CR00018,C03852,Debit,Active
CR00019,C03334,Debit,Active
CR00020,C02349,Debit,Active
CR00021,C01756,Credit,Blocked
CR00022,C01822,Debit,Expired
CR00023,C01250,Debit,Blocked
CR00024,C01709,Credit,Blocked
CR00025,C04614,Credit,Blocked
CR00026,C04068,Credit,Blocked
CR00027,C03230,Debit,Expired
CR00028,C04839,Debit,Expired
CR00029,C04756,Credit,Active
CR00030,C01262,Debit,Expired
CR00031,C03718,Credit,Blocked
CR00032,C04653,Debit,Expired
CR00033,C03073,Debit,Active
CR00034,C00931,Debit,Active
CR00035,C03831,Credit,Blocked
CR00036,C00090,Debit,Expired
CR00037,C00460,Debit,Blocked
CR00038,C00436,Credit,Blocked
CR00039,C02006,Debit,Blocked
CR00040,C01444,Debit,Active
CR00041,C03023,Debit,Blocked
CR00042,C01443,Debit,Active
CR00043,C03111,Debit,Expired
CR00044,C02866,Credit,Active
CR00045,C00311,Debit,Blocked
CR00046,C02464,Credit,Expired
CR00047,C03112,Credit,Expired
CR00048,C04922,Credit,Expired
CR00049,C04592,Credit,Active
CR00050,C00998,Credit,Expired
CR00051,C04410,Credit,Active
CR00052,C04969,Credit,Blocked
CR00053,C02279,Credit,Blocked
CR00054,C04134,Credit,Expired
CR00055,C04808,Debit,Expired
CR00056,C03231,Debit,Active
CR00057,C02272,Credit,Expired
CR00058,C02446,Credit,Expired
CR00059,C04178,Debit,Active
CR00060,C03654,Debit,Blocked
CR00061,C03747,Credit,Active
CR00062,C04580,Debit,Expired
CR00063,C02867,Credit,Active
CR00064,C03671,Debit,Active
CR00065,C02717,Credit,Expired
CR00066,C03937,Debit,Active
CR00067,C03856,Credit,Active
CR00068,C02886,Credit,Expired
CR00069,C01073,Credit,Blocked
CR00070,C02739,Debit,Expired
CR00071,C00645,Credit,Blocked
CR00072,C00978,Credit,Active
CR00073,C03162,Credit,Active
CR00074,C04700,Debit,Blocked
CR00075,C00592,Credit,Active
CR00076,C02114,Debit,Blocked
CR00077,C00903,Credit,Active
CR00078,C02658,Credit,Blocked
CR00079,C00855,Debit,Active
CR00080,C00866,Credit,Blocked
CR00081,C01391,Credit,Expired
CR00082,C03468,Debit,Blocked
CR00083,C00860,Debit,Expired
CR00084,C04477,Debit,Expired
CR00085,C00568,Credit,Blocked
CR00086,C01387,Debit,Blocked
CR00087,C03908,Debit,Blocked
CR00088,C02906,Credit,Active
CR00089,C01190,Credit,Active
CR00090,C03700,Credit,Active
CR00091,C00555,Debit,Expired
CR00092,C01703,Credit,Active
CR00093,C03834,Debit,Active
CR00094,C04675,Debit,Expired
CR00095,C04894,Debit,Expired
CR00096,C03475,Debit,Blocked
CR00097,C02451,Credit,Blocked
CR00098,C01190,Debit,Active
CR00099,C00224,Credit,Expired
CR00100,C04843,Debit,Expired
CR00101,C02178,Credit,Active
CR00102,C00643,Debit,Active
CR00103,C04763,Credit,Blocked
CR00104,C04067,Credit,Blocked
CR00105,C00722,Debit,Active
CR00106,C03947,Credit,Expired
CR00107,C02232,Debit,Expired
CR00108,C04573,Debit,Expired
CR00109,C02918,Debit,Blocked
CR00110,C04385,Credit,Active
CR00111,C02515,Credit,Active
CR00112,C03344,Credit,Active
CR00113,C03264,Credit,Active
CR00114,C02100,Credit,Blocked
CR00115,C01540,Credit,Expired
CR00116,C01180,Debit,Blocked
CR00117,C00480,Credit,Blocked
CR00118,C03552,Credit,Active
CR00119,C03265,Debit,Active
CR00120,C04723,Debit,Expired
CR00121,C00902,Debit,Blocked
CR00122,C02049,Credit,Blocked
CR00123,C03125,Debit,Active
CR00124,C02121,Debit,Expired
CR00125,C03191,Debit,Expired
CR00126,C03749,Credit,Expired
CR00127,C00479,Credit,Blocked
CR00128,C03109,Credit,Active
CR00129,C00825,Credit,Blocked
CR00130,C02371,Credit,Blocked
CR00131,C04173,Credit,Expired
CR00132,C00830,Credit,Blocked
CR00133,C03964,Credit,Active
CR00134,C00063,Debit,Active
CR00135,C01598,Debit,Blocked
CR00136,C01982,Debit,Blocked
CR00137,C03419,Debit,Active
CR00138,C01172,Debit,Expired
CR00139,C03484,Debit,Expired
CR00140,C03357,Credit,Active
CR00141,C03673,Credit,Active
CR00142,C04505,Debit,Active
CR00143,C00717,Credit,Blocked
CR00144,C03800,Debit,Blocked
CR00145,C04244,Credit,Expired
CR00146,C03459,Credit,Active
CR00147,C02703,Credit,Expired
CR00148,C04509,Debit,Expired
CR00149,C00337,Debit,Active
CR00150,C03885,Credit,Blocked
CR00151,C00054,Debit,Blocked
CR00152,C03422,Debit,Expired
CR00153,C02047,Credit,Blocked
CR00154,C04625,Debit,Expired
CR00155,C04782,Debit,Expired
CR00156,C04629,Credit,Active
CR00157,C00441,Debit,Expired
CR00158,C03457,Credit,Blocked
CR00159,C04088,Debit,Expired
CR00160,C02509,Debit,Expired
CR00161,C04270,Debit,Blocked
CR00162,C03890,Debit,Active
CR00163,C04486,Debit,Expired
CR00164,C04811,Debit,Blocked
CR00165,C04338,Debit,Blocked
CR00166,C01309,Debit,Active
CR00167,C01127,Debit,Expired
CR00168,C04752,Debit,Blocked
CR00169,C02350,Debit,Blocked
CR00170,C02781,Credit,Blocked
