CustomerID,Age,Gender,City,CreditScore,RiskSegment
C00001,57,F,Bangalore,711,Low
C00002,68,F,Chennai,756,Low
C00003,75,M,Pune,499,High
C00004,27,F,Mumbai,398,High
C00005,51,F,Delhi,808,Low
C00006,54,F,Pune,313,High
C00007,64,M,Delhi,321,High
C00008,25,F,Delhi,484,High
C00009,36,F,Delhi,583,Medium
C00010,37,M,Bangalore,845,Low
C00011,31,F,Mumbai,745,Low
C00012,58,M,Mumbai,323,High
C00013,54,F,Pune,640,Medium
C00014,37,F,Chennai,801,Low
C00015,72,M,Chennai,487,High
C00016,67,M,Delhi,351,High
C00017,75,F,Delhi,810,Low
C00018,25,M,Delhi,719,Low
C00019,26,M,Chennai,303,High
C00020,46,F,Mumbai,727,Low
C00021,19,F,Pune,792,Low
C00022,61,M,Delhi,509,High
C00023,48,M,Pune,475,High
C00024,49,F,Chennai,718,Low
C00025,41,F,Bangalore,487,High
C00026,68,F,Chennai,353,High
C00027,32,M,Pune,523,High
C00028,49,M,Pune,399,High
C00029,45,F,Pune,561,Medium
C00030,40,F,Mumbai,540,High
C00031,72,M,Delhi,563,Medium
C00032,60,F,Delhi,675,Medium
C00033,21,M,Mumbai,526,High
C00034,74,M,Delhi,584,Medium
C00035,74,M,Mumbai,322,High
C00036,49,F,Mumbai,458,High
C00037,73,F,Chennai,763,Low
C00038,66,M,Chennai,340,High
C00039,54,F,Bangalore,378,High
C00040,72,M,Bangalore,396,High
C00041,21,M,Chennai,319,High
C00042,52,F,Delhi,542,High
C00043,26,F,Delhi,848,Low
C00044,59,F,Delhi,769,Low
C00045,60,M,Bangalore,629,Medium
C00046,50,F,Bangalore,507,High
C00047,42,M,Bangalore,543,High
C00048,29,M,Chennai,672,Medium
C00049,73,F,Bangalore,589,Medium
C00050,63,F,Pune,586,Medium
C00051,73,F,Chennai,792,Low
C00052,33,F,Bangalore,402,High
C00053,71,M,Chennai,386,High
C00054,30,F,Chennai,557,Medium
C00055,59,M,Mumbai,603,Medium
C00056,21,M,Delhi,728,Low
C00057,33,F,Bangalore,578,Medium
C00058,33,F,Mumbai,386,High
C00059,27,M,Mumbai,399,High
C00060,43,F,Chennai,309,High
C00061,68,M,Delhi,604,Medium
C00062,70,M,Mumbai,493,High
C00063,72,M,Bangalore,420,High
C00064,55,F,Bangalore,412,High
C00065,56,M,Bangalore,426,High
C00066,74,F,Delhi,322,High
C00067,38,F,Mumbai,846,Low
C00068,25,F,Chennai,331,High
C00069,67,F,Bangalore,580,Medium
C00070,63,F,Chennai,544,High
C00071,22,M,Pune,837,Low
C00072,74,M,Mumbai,606,Medium
C00073,74,F,Chennai,745,Low
C00074,23,M,Chennai,404,High
C00075,60,M,Mumbai,758,Low
C00076,21,F,Mumbai,358,High
C00077,75,F,Bangalore,778,Low
C00078,19,F,Chennai,771,Low
C00079,31,F,Mumbai,785,Low
C00080,32,M,Pune,808,Low
C00081,33,F,Bangalore,831,Low
C00082,52,M,Delhi,602,Medium
C00083,49,F,Mumbai,671,Medium
C00084,73,F,Mumbai,724,Low
C00085,34,F,Chennai,590,Medium
C00086,23,M,Delhi,649,Medium
C00087,64,F,Pune,844,Low
C00088,62,F,Bangalore,808,Low
C00089,72,M,Pune,567,Medium
C00090,75,F,Delhi,329,High
C00091,62,M,Pune,536,High
C00092,22,F,Chennai,365,High
C00093,29,M,Chennai,399,High
C00094,41,F,Chennai,789,Low
C00095,46,F,Delhi,748,Low
C00096,37,M,Chennai,646,Medium
C00097,29,M,Chennai,409,High
C00098,74,F,Delhi,832,Low
C00099,64,M,Bangalore,623,Medium
C00100,41,M,Pune,381,High
C00101,54,M,Mumbai,426,High
C00102,43,M,Bangalore,585,Medium
C00103,38,M,Mumbai,634,Medium
C00104,75,F,Bangalore,751,Low
C00105,32,M,Bangalore,485,High
C00106,73,F,Chennai,695,Medium
C00107,34,F,Mumbai,637,Medium
C00108,36,F,Delhi,630,Medium
C00109,19,F,Bangalore,669,Medium
C00110,26,F,Delhi,784,Low
C00111,69,F,Mumbai,662,Medium
C00112,62,M,Bangalore,683,Medium
C00113,73,M,Bangalore,408,High
C00114,46,M,Pune,317,High
C00115,67,F,Delhi,653,Medium
C00116,60,M,Pune,353,High
C00117,58,M,Delhi,698,Medium
C00118,62,F,Delhi,741,Low
C00119,59,F,Pune,312,High
C00120,75,M,Pune,761,Low
C00121,69,M,Bangalore,804,Low
C00122,46,M,Bangalore,359,High
C00123,60,M,Mumbai,561,Medium
C00124,31,F,Chennai,465,High
C00125,19,F,Chennai,428,High
C00126,64,F,Delhi,622,Medium
C00127,18,M,Bangalore,748,Low
C00128,38,F,Chennai,530,High
C00129,27,F,Bangalore,323,High
C00130,74,F,Chennai,357,High
C00131,23,F,Mumbai,774,Low
C00132,48,F,Bangalore,650,Medium
C00133,45,M,Chennai,782,Low
C00134,55,M,Bangalore,742,Low
C00135,37,F,Chennai,513,High
C00136,44,M,Bangalore,618,Medium
C00137,58,F,Mumbai,339,High
C00138,35,F,Pune,428,High
C00139,44,F,Pune,754,Low
C00140,29,M,Delhi,601,Medium
C00141,59,F,Chennai,429,High
C00142,68,F,Delhi,540,High
C00143,66,F,Delhi,798,Low
C00144,61,F,Chennai,463,High
C00145,39,M,Delhi,499,High
C00146,46,F,Mumbai,728,Low
C00147,56,M,Delhi,613,Medium
C00148,41,M,Pune,404,High
C00149,56,M,Pune,375,High
C00150,26,F,Chennai,713,Low
C00151,46,F,Pune,592,Medium
C00152,58,F,Mumbai,757,Low
C00153,22,M,Mumbai,609,Medium
C00154,63,F,Mumbai,800,Low
C00155,65,F,Chennai,492,High
C00156,75,M,Delhi,690,Medium
C00157,28,M,Mumbai,316,High
C00158,30,F,Bangalore,528,High
C00159,21,F,Pune,826,Low
C00160,23,F,Mumbai,415,High
C00161,40,F,Bangalore,826,Low
C00162,53,F,Chennai,838,Low
C00163,51,M,Delhi,522,High
C00164,25,M,Bangalore,742,Low
C00165,31,M,Bangalore,429,High
C00166,25,M,Chennai,376,High
C00167,31,F,Bangalore,426,High
C00168,51,F,Delhi,748,Low
C00169,56,M,Chennai,499,High
C00170,57,F,Delhi,361,High
C00171,20,F,Bangalore,561,Medium
C00172,41,F,Chennai,668,Medium
C00173,26,M,Mumbai,720,Low
C00174,24,M,Bangalore,542,High
C00175,75,F,Chennai,748,Low
C00176,59,M,Chennai,521,High
C00177,59,F,Chennai,452,High
C00178,18,M,Delhi,508,High
C00179,37,M,Bangalore,374,High
C00180,35,F,Delhi,704,Low
C00181,67,M,Mumbai,770,Low
C00182,20,F,Pune,657,Medium
C00183,34,F,Pune,586,Medium
C00184,41,F,Chennai,780,Low
C00185,54,F,Pune,318,High
C00186,40,M,Chennai,718,Low
C00187,18,M,Pune,574,Medium
C00188,59,M,Bangalore,742,Low
C00189,70,M,Bangalore,420,High
C00190,73,M,Chennai,776,Low
C00191,62,F,Pune,594,Medium
C00192,53,M,Delhi,338,High
C00193,65,F,Chennai,682,Medium
C00194,59,M,Mumbai,556,Medium
C00195,18,F,Chennai,304,High
C00196,51,M,Delhi,823,Low
C00197,73,M,Pune,697,Medium
C00198,61,M,Mumbai,307,High
C00199,54,M,Mumbai,804,Low
C00200,62,M,Chennai,585,Medium
C00201,39,F,Delhi,538,High
C00202,28,M,Pune,768,Low
C00203,35,M,Pune,322,High
