FraudID,TransactionID,FraudType,LossAmount
F00001,T007611,Card Fraud,376678
F00002,T020773,Phishing,148799
F00003,T040853,Phishing,494758
F00004,T013393,Money Laundering,442529
F00005,T039811,Card Fraud,379223
F00006,T017425,Identity Theft,50180
F00007,T040367,Identity Theft,235006
F00008,T029976,Identity Theft,435550
F00009,T027125,Money Laundering,390062
F00010,T034609,Phishing,106929
F00011,T025279,Money Laundering,104681
F00012,T033593,Card Fraud,130579
F00013,T031307,Phishing,125847
F00014,T009743,Phishing,463286
F00015,T025246,Money Laundering,33433
F00016,T001287,Identity Theft,416132
F00017,T029268,Identity Theft,157642
F00018,T048158,Phishing,137368
F00019,T010150,Phishing,415172
F00020,T001817,Card Fraud,221729
F00021,T010378,Identity Theft,440369
F00022,T049615,Card Fraud,380747
F00023,T009519,Card Fraud,77907
F00024,T049559,Identity Theft,305307
F00025,T041411,Identity Theft,114759
F00026,T016222,Card Fraud,81010
F00027,T034226,Identity Theft,262293
F00028,T013437,Phishing,487064
F00029,T018481,Identity Theft,263985
F00030,T011123,Card Fraud,409665
F00031,T032996,Identity Theft,494422
F00032,T013743,Identity Theft,499829
F00033,T025099,Money Laundering,469648
F00034,T039166,Phishing,118890
F00035,T017649,Identity Theft,252108
F00036,T041526,Money Laundering,147026
F00037,T041684,Phishing,335987
F00038,T045952,Card Fraud,141301
F00039,T010228,Money Laundering,325960
F00040,T031124,Money Laundering,83178
F00041,T010603,Identity Theft,50874
F00042,T004172,Identity Theft,221234
F00043,T036758,Money Laundering,140424
F00044,T005655,Phishing,329700
F00045,T003249,Phishing,499535
F00046,T014532,Card Fraud,177101
F00047,T030692,Money Laundering,30845
F00048,T020729,Card Fraud,120328
F00049,T016636,Phishing,273146
F00050,T007441,Money Laundering,375167
F00051,T034022,Card Fraud,496128
F00052,T047821,Card Fraud,148485
F00053,T043930,Money Laundering,297630
F00054,T032239,Money Laundering,225533
F00055,T030627,Money Laundering,23178
F00056,T035926,Card Fraud,468229
F00057,T024077,Phishing,254221
F00058,T036950,Money Laundering,265493
F00059,T003189,Phishing,483017
F00060,T001443,Card Fraud,294733
F00061,T026552,Phishing,447953
F00062,T040595,Identity Theft,96852
F00063,T007809,Phishing,442643
F00064,T025014,Money Laundering,309860
F00065,T048881,Card Fraud,61526
F00066,T001036,Identity Theft,337962
F00067,T020690,Money Laundering,302011
F00068,T027015,Identity Theft,35612
F00069,T024865,Money Laundering,383258
F00070,T003396,Card Fraud,287761
F00071,T002676,Identity Theft,248726
F00072,T042587,Card Fraud,52200
F00073,T016592,Identity Theft,358908
F00074,T030956,Identity Theft,59556
F00075,T016009,Money Laundering,244181
F00076,T031967,Phishing,225789
F00077,T015276,Card Fraud,71500
F00078,T048942,Money Laundering,437797
F00079,T003310,Identity Theft,109960
F00080,T005633,Phishing,139094
F00081,T004999,Money Laundering,346001
F00082,T018569,Card Fraud,102472
F00083,T025851,Money Laundering,448276
F00084,T012284,Identity Theft,75704
F00085,T009888,Identity Theft,59223
F00086,T033273,Card Fraud,124578
F00087,T042836,Phishing,130874
F00088,T027414,Identity Theft,49568
F00089,T012105,Card Fraud,471181
F00090,T029248,Money Laundering,137562
F00091,T029851,Identity Theft,418962
F00092,T027664,Phishing,377112
F00093,T027212,Phishing,276313
F00094,T021484,Identity Theft,433071
F00095,T018614,Money Laundering,355112
F00096,T045033,Money Laundering,181706
F00097,T040751,Money Laundering,313367
F00098,T023410,Phishing,418591
F00099,T013243,Money Laundering,28425
F00100,T023468,Phishing,83765
F00101,T043150,Identity Theft,240896
F00102,T020837,Phishing,197908
F00103,T024121,Card Fraud,212753
F00104,T047990,Phishing,388515
F00105,T033947,Phishing,45609
F00106,T003196,Card Fraud,56599
F00107,T042698,Identity Theft,312253
F00108,T042958,Identity Theft,80664
F00109,T002321,Money Laundering,203314
F00110,T045483,Card Fraud,297738
F00111,T007306,Money Laundering,452328
F00112,T000977,Card Fraud,234342
F00113,T031074,Phishing,106821
F00114,T028134,Identity Theft,491997
F00115,T011997,Money Laundering,238711
F00116,T047647,Identity Theft,303654
F00117,T037439,Phishing,193823
F00118,T038966,Card Fraud,372548
F00119,T010967,Card Fraud,293465
F00120,T041849,Identity Theft,412555
