TransactionID,AccountID,Amount,Type,Channel,Date
T000001,A02142,196988,Online,Web,2025-06-24
T000002,A06639,3526,Online,ATM,2025-07-13
T000003,A03089,171857,ATM,Branch,2025-09-19
T000004,A01915,30737,POS,ATM,2025-10-06
T000005,A08261,179987,POS,ATM,2025-05-22
T000006,A06695,46514,Transfer,ATM,2025-11-08
T000007,A07558,25780,POS,Mobile,2025-10-20
T000008,A05562,154855,Transfer,Web,2025-04-22
T000009,A00804,36516,POS,Web,2025-04-20
T000010,A03287,160126,POS,Mobile,2026-04-17
T000011,A00159,34239,Transfer,Web,2025-06-05
T000012,A01647,36716,Transfer,Mobile,2025-07-26
T000013,A02831,72423,Online,Mobile,2025-12-16
T000014,A06645,67766,ATM,Branch,2026-03-18
T000015,A01897,142910,Online,Branch,2026-03-19
T000016,A08376,133527,POS,Mobile,2025-02-05
T000017,A01155,50062,Online,Web,2026-03-26
T000018,A00706,18763,ATM,Web,2025-12-24
T000019,A09570,82531,POS,Branch,2025-12-02
T000020,A07566,199057,ATM,Branch,2025-04-30
T000021,A02088,196468,ATM,ATM,2025-07-31
T000022,A08494,59583,POS,ATM,2025-08-27
T000023,A00662,124669,POS,Mobile,2026-02-12
T000024,A00428,33495,ATM,Web,2025-05-05
T000025,A09599,154670,Online,ATM,2025-07-22
T000026,A08430,93535,Transfer,Web,2026-01-01
T000027,A09797,84524,Transfer,Web,2025-07-24
T000028,A06135,93508,Transfer,Mobile,2025-07-31
T000029,A04564,133282,Transfer,ATM,2025-07-28
T000030,A05339,95719,ATM,ATM,2025-12-26
T000031,A06441,99515,POS,ATM,2025-09-03
T000032,A02906,70688,Online,Mobile,2025-09-24
T000033,A01180,12695,POS,Mobile,2025-11-24
T000034,A08872,150326,POS,Branch,2025-07-31
T000035,A01433,54800,Transfer,Mobile,2025-05-03
T000036,A04982,51903,Transfer,Web,2026-01-02
T000037,A09957,182581,POS,Web,2026-01-05
T000038,A00991,32133,Online,Mobile,2025-12-20
T000039,A03457,121447,Transfer,Branch,2026-03-03
T000040,A06039,197379,ATM,Mobile,2025-06-08
T000041,A07493,171858,Online,Mobile,2025-01-16
T000042,A02133,150393,ATM,ATM,2025-03-10
T000043,A05087,67931,Transfer,Mobile,2026-01-24
T000044,A06528,19770,POS,Web,2025-04-04
T000045,A04403,162142,ATM,Branch,2025-01-22
T000046,A03747,152889,ATM,Mobile,2025-07-01
T000047,A01971,53982,Transfer,Mobile,2025-11-06
T000048,A00799,143483,Online,Web,2025-05-01
T000049,A07115,25230,Online,Web,2026-01-15
T000050,A05025,77969,Online,Mobile,2026-03-22
T000051,A04811,20484,Online,ATM,2025-12-31
T000052,A06485,47348,Online,ATM,2025-02-06
T000053,A02056,172936,Online,Web,2025-04-30
T000054,A04857,58143,ATM,Web,2026-01-22
T000055,A07450,123237,POS,Mobile,2025-07-13
T000056,A02307,79599,POS,Web,2025-11-08
T000057,A02956,30736,POS,Web,2025-05-28
T000058,A05227,197842,POS,Branch,2025-01-07
T000059,A00060,112336,Transfer,ATM,2025-08-22
T000060,A00982,73708,ATM,ATM,2025-02-23
T000061,A05997,119418,ATM,ATM,2025-10-24
T000062,A06809,59691,POS,Web,2025-05-29
T000063,A00426,32122,Transfer,Branch,2025-09-13
T000064,A00190,150118,POS,Branch,2025-12-28
T000065,A02946,101382,ATM,Web,2025-05-08
T000066,A05656,57891,Transfer,Branch,2025-04-24
T000067,A03227,118185,POS,Branch,2025-01-30
T000068,A08803,111597,Online,Mobile,2026-02-23
T000069,A05944,120068,Online,Web,2025-06-07
T000070,A03908,81392,Transfer,ATM,2025-10-15
T000071,A05761,139617,Transfer,ATM,2025-09-18
T000072,A03746,102040,Transfer,Web,2025-09-25
T000073,A01656,169775,POS,Mobile,2026-01-21
T000074,A08722,155385,POS,Web,2025-02-08
T000075,A09483,28844,POS,Web,2025-01-22
T000076,A00274,146022,ATM,Web,2026-03-24
T000077,A06271,21513,POS,Web,2025-03-25
T000078,A06531,110563,ATM,Branch,2025-02-03
T000079,A07883,163487,POS,Branch,2025-11-15
T000080,A08275,126742,Online,Web,2026-04-27
T000081,A09840,189217,ATM,Branch,2025-04-01
T000082,A02583,11709,ATM,Web,2025-03-23
T000083,A00432,49595,POS,Web,2025-01-04
T000084,A02193,110114,ATM,Web,2025-10-27
T000085,A04645,71830,ATM,ATM,2025-06-18
T000086,A00256,103501,POS,ATM,2025-05-24
T000087,A07588,44891,ATM,Mobile,2025-03-27
T000088,A01069,90003,Transfer,Branch,2025-04-28
T000089,A09496,104927,Transfer,Branch,2025-05-08
T000090,A02331,173880,Transfer,Branch,2025-03-19
T000091,A05238,34863,Transfer,ATM,2025-03-20
T000092,A04999,132611,POS,Branch,2025-01-15
T000093,A02599,461,ATM,Mobile,2025-11-16
T000094,A00516,72553,ATM,Web,2025-04-10
T000095,A09712,119035,Online,Branch,2026-03-14
T000096,A00926,38691,POS,Branch,2025-07-23
T000097,A06076,75438,Online,ATM,2026-04-23
T000098,A09130,126446,ATM,ATM,2025-03-29
T000099,A02905,25601,ATM,Mobile,2026-04-17
T000100,A09129,91741,Transfer,ATM,2025-09-25
T000101,A03690,71634,Transfer,ATM,2026-02-27
T000102,A06154,75868,Online,ATM,2025-07-22
T000103,A09156,198814,ATM,ATM,2025-01-18
T000104,A09897,6192,ATM,ATM,2025-09-06
T000105,A02251,150716,POS,Mobile,2026-03-30
T000106,A09672,184093,POS,Mobile,2026-01-01
T000107,A03239,66228,Online,ATM,2025-10-09
T000108,A07395,68056,Transfer,Web,2026-04-22
T000109,A08387,181402,Transfer,ATM,2025-03-28
T000110,A06733,150544,Online,Mobile,2025-06-05
T000111,A04015,51967,Online,Branch,2025-07-24
T000112,A08767,94417,Transfer,Branch,2025-11-09
